Date,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country
2023-01-03 00:00:00-05:00,8.170000076,8.449999809,7.889999866,8.119999886,11626300,peloton,PTON,fitness,usa
2023-01-03 00:00:00-05:00,298.0599976,298.3900146,288.7000122,294.9500122,6764000,netflix,NFLX,entertainment,usa
2023-01-03 00:00:00-05:00,455.392038,456.1874704,445.3495437,450.6989136,1978100,costco,COST,retail,usa
2023-01-03 00:00:00-05:00,85.45999908,86.95999908,84.20999908,85.81999969,76706000,amazon,AMZN,e-commerce,usa
2023-01-03 00:00:00-05:00,129.7265233,130.3438845,123.6424801,124.5386581,112117500,apple,AAPL,technology,usa
2023-01-03 00:00:00-05:00,117.431224,118.3623479,116.3316986,117.6293335,8124800,nike,NKE,apparel,usa
2023-01-03 00:00:00-05:00,146.7846745,149.3880068,146.3932024,148.4973907,3685200,target,TGT,retail,usa
2023-01-03 00:00:00-05:00,89.58999634,91.05000305,88.51999664,89.12000275,28131200,google,GOOGL,technology,usa
2023-01-03 00:00:00-05:00,81.87999725,81.98999786,79.23999786,81.90000153,1286800,spotify,SPOT,music,usa
2023-01-03 00:00:00-05:00,69.01000214,69.33000183,66.16000366,66.66000366,2797600,zoom video communications,ZM,technology,usa
2023-01-03 00:00:00-05:00,88.98000336,89.97000122,87.83000183,88.97000122,14997100,the walt disney company,DIS,entertainment,usa
2023-01-03 00:00:00-05:00,28.90999985,29.62000084,27.23999977,27.85000038,13439400,roblox,RBLX,gaming,usa
2023-01-03 00:00:00-05:00,10.42000008,10.75,10.30000019,10.5,1061200,nintendo,NTDOY,gaming,japan
2023-01-03 00:00:00-05:00,33.18030679,33.47967722,32.27221434,32.54164886,8640200,delta air lines,DAL,aviation,usa
2023-01-03 00:00:00-05:00,241.4326093,244.0845124,235.7910957,237.9563293,25740000,microsoft,MSFT,technology,usa
2023-01-03 00:00:00-05:00,33.10046296,33.34514409,31.41705559,31.90641785,11467600,southwest airlines,LUV,aviation,usa
2023-01-03 00:00:00-05:00,13.82158753,14.30396465,13.67392137,14.22520924,5218200,american eagle outfitters,AEO,apparel,usa
2023-01-03 00:00:00-05:00,118.4700012,118.8000031,104.6399994,108.0999985,231402800,tesla,TSLA,automotive,usa
2023-01-03 00:00:00-05:00,99.03476542,99.63551392,97.96130148,99.30067444,6607700,starbucks,SBUX,food & beverage,usa
2023-01-03 00:00:00-05:00,148.4571694,149.9066658,140.9098671,143.0990753,40127700,nvidia,NVDA,technology,usa
2023-01-03 00:00:00-05:00,135.1900024,136.9499969,133.0299988,134.7799988,8196400,salesforce / slack,CRM,technology,usa
2023-01-03 00:00:00-05:00,23.09000015,23.40999985,22.95999908,23.27000046,1878300,honda,HMC,automotive,japan
2023-01-03 00:00:00-05:00,77.31169994,77.68456747,76.26177616,77.64531708,2920200,colgate palmolive,CL,consumer goods,usa
2023-01-03 00:00:00-05:00,227.3049236,227.3641049,221.8008363,223.8426666,1160800,hershey company,HSY,food & beverage,usa
2023-01-03 00:00:00-05:00,5.319287118,5.338352645,5.252557999,5.281156063,200900,porsche,POAHY,automotive,germany
2023-01-03 00:00:00-05:00,1400.300049,1403.410034,1358.030029,1371.130005,321300,chipotle,CMG,food,usa
2023-01-03 00:00:00-05:00,82.13481903,82.13481903,82.13481903,82.13481903,0,bmw group,BAMXF,automotive,germany
2023-01-03 00:00:00-05:00,25.22999954,25.22999954,22.55500031,22.88999939,18701700,pinterest,PINS,social media,usa
2023-01-03 00:00:00-05:00,62.83000183,63.50999832,62.09999847,62.81000137,456700,logitech,LOGI,technology,switzerland
2023-01-03 00:00:00-05:00,35.68999863,36.47999954,34.65000153,35.68000031,18847000,shopify,SHOP,e-commerce,canada
2023-01-03 00:00:00-05:00,109.8899994,110.6100006,105.7799988,106.8099976,1336500,crocs,CROX,footwear,usa
2023-01-03 00:00:00-05:00,66,66.87999725,63.59000015,64.01999664,46851800,amd,AMD,technology,usa
2023-01-03 00:00:00-05:00,62.59942368,62.59942368,61.24027847,61.99864197,12180500,the coca-cola company,KO,food & beverage,usa
2023-01-03 00:00:00-05:00,69.83330337,70.32123583,68.89728532,69.44495392,109200,adidas,ADDYY,apparel,germany
2023-01-03 00:00:00-05:00,147.966014,148.8664394,144.1961184,145.5714874,2762200,american express,AXP,finance,usa
2023-01-03 00:00:00-05:00,58.89548874,58.89548874,58.89548874,58.89548874,100,puma,PMMAF,apparel,germany
2023-01-03 00:00:00-05:00,208.0732234,211.1056391,204.9712191,206.1941223,4202800,visa,V,finance,usa
2023-01-03 00:00:00-05:00,340.1600037,345.8200073,331.9200134,336.9200134,2229100,adobe,ADBE,technology,usa
2023-01-03 00:00:00-05:00,66.30000305,67.5,62.5019989,64.63999939,16416500,block,SQ,financial services,usa
2023-01-03 00:00:00-05:00,48.76927018,49.1489864,48.74006238,49.13925171,2211200,unilever,UL,consumer goods,netherlands
2023-01-03 00:00:00-05:00,46.77196407,46.95764332,46.23446837,46.85014343,17718900,cisco,CSCO,technology,usa
2023-01-03 00:00:00-05:00,132.294429,133.7617584,130.9738265,132.1770325,11054800,jpmorgan chase & co,JPM,finance,usa
2023-01-03 00:00:00-05:00,148.5288071,149.4120795,146.583615,147.2684021,222300,lvmh,LVMUY,luxury goods,france
2023-01-03 00:00:00-05:00,87.38500214,88.13999939,84.30000305,84.90000153,3901200,airbnb,ABNB,hospitality,usa
2023-01-03 00:00:00-05:00,148.6603917,149.5333953,145.9322231,146.5770569,1686200,marriott,MAR,hospitality,usa
2023-01-03 00:00:00-05:00,5.739999771,5.769999981,5.650000095,5.670000076,198000,ubisoft,UBSFY,gaming,france
2023-01-03 00:00:00-05:00,30.67000008,31.04999924,29.40999985,29.44000053,3246500,zoominfo,ZI,technology,usa
2023-01-03 00:00:00-05:00,137.9600067,138.4700012,137.0200043,138.2799988,309800,toyota,TM,automotive,japan
2023-01-03 00:00:00-05:00,127.3772434,128.095039,124.1172984,124.645668,1611900,hilton,HLT,hospitality,usa
2023-01-03 00:00:00-05:00,259.239891,260.0465491,255.2853449,260.0268555,2743800,mcdonald's,MCD,food,usa
2023-01-03 00:00:00-05:00,310.9000444,312.6630595,305.3758785,309.421051,2822400,the home depot,HD,retail,usa
2023-01-03 00:00:00-05:00,348.3419264,353.0202077,342.3497712,345.1965332,2933600,mastercard,MA,finance,usa
2023-01-03 00:00:00-05:00,172.3410057,174.5128792,172.1942486,174.3269958,6344900,johnson & johnson,JNJ,healthcare,usa
2023-01-03 00:00:00-05:00,25.37000084,25.75,25.02000046,25.36000061,22155300,uber,UBER,technology,usa
2023-01-03 00:00:00-05:00,148.1419506,148.8878223,146.3459914,148.7504272,6447300,procter & gamble,PG,consumer goods,usa
2023-01-03 00:00:00-05:00,36.49000168,36.93000031,33.36999893,33.59999847,8514300,coinbase,COIN,cryptocurrency,usa
2023-01-03 00:00:00-05:00,173.0274576,175.6183651,172.5923401,175.3019257,2193900,fedex,FDX,logistics,usa
2023-01-03 00:00:00-05:00,116.3955908,117.4683638,115.2940912,117.3055344,2612800,3m,MMM,manufacturing,usa
2023-01-03 00:00:00-05:00,15.7168568,15.78443512,15.19553513,15.21484375,5510600,nordstrom,JWN,retail,usa
2023-01-03 00:00:00-05:00,15.52999973,15.68999958,15.46000004,15.64000034,2513100,philips,PHG,technology,netherlands
